GEOID,BREAST_SCREEN_RATE
1400000US51810045000,69.2
1400000US51199050206,78.6
1400000US51199050500,71.4
1400000US51199050401,81.7
1400000US51199050205,81.7
1400000US51740212802,75.5
1400000US51810041002,67.4
1400000US51700030900,66.4
1400000US51700031100,72.3
1400000US51810041004,74.4
1400000US51810043800,85.0
1400000US51740213200,73.3
1400000US51810041200,79.9
1400000US51810041400,82.7
1400000US51810042600,75.6
1400000US51810046214,76.4
1400000US51810045805,78.5
1400000US51810046220,79.5
1400000US51810044004,70.1
1400000US51810042400,76.5
1400000US51740211400,69.3
1400000US51810041600,79.6
1400000US51810041801,70.3
1400000US51810046219,74.2
1400000US51810045601,76.4
1400000US51810045415,67.7
1400000US51810042000,83.5
1400000US51810042201,82.1
1400000US51810046400,73.8
1400000US51810043004,78.6
1400000US51810045427,76.1
1400000US51810045428,76.7
1400000US51810042202,78.3
1400000US51810042801,71.8
1400000US51810045421,74.8
1400000US51810045422,74.9
1400000US51810990100,50.8
1400000US51810040000,57.3
1400000US51810040200,67.4
1400000US51740211500,67.0
1400000US51740211600,70.9
1400000US51740211700,70.5
1400000US51740211800,59.7
1400000US51740212000,70.4
1400000US51740212100,67.3
1400000US51740980100,40.0
1400000US51700031200,70.5
1400000US51700031300,70.2
1400000US51700031603,73.2
1400000US51700032134,73.7
1400000US51700032227,72.5
1400000US51700032133,67.7
1400000US51700032228,70.8
1400000US51700031604,72.4
1400000US51810045426,73.5
1400000US51700031400,73.1
1400000US51700031500,75.1
1400000US51700031602,73.4
1400000US51810046016,75.0
1400000US51810046014,74.4
1400000US51810046221,71.8
1400000US51810046223,80.8
1400000US51810046222,79.0
1400000US51810046225,75.0
1400000US51810045603,74.9
1400000US51740212500,70.2
1400000US51650010312,76.7
1400000US51740210400,78.3
1400000US51740210500,65.0
1400000US51740210900,72.6
1400000US51740210300,67.7
1400000US51740212300,67.4
1400000US51740211100,72.0
1400000US51700032114,76.0
1400000US51700032117,74.9
1400000US51700032123,73.3
1400000US51710000400,73.3
1400000US51710000500,74.4
1400000US51710000600,69.8
1400000US51710000800,69.7
1400000US51710001100,67.2
1400000US51710001200,76.1
1400000US51710001400,73.4
1400000US51710001500,78.2
1400000US51710001600,75.0
1400000US51700030500,66.0
1400000US51700032212,67.9
1400000US51700032001,82.9
1400000US51700032400,75.9
