GEOID,NAME,BASENAME,COUNTY,COLON_SCREEN_RATE
1400000US51810045000,Census Tract 450,450.0,810,64.8
1400000US51199050206,Census Tract 502.06,502.06,199,71.5
1400000US51199050500,Census Tract 505,505.0,199,65.9
1400000US51199050401,Census Tract 504.01,504.01,199,75.3
1400000US51199050205,Census Tract 502.05,502.05,199,75.3
1400000US51740212802,Census Tract 2128.02,2128.02,740,70.5
1400000US51810041002,Census Tract 410.02,410.02,810,63.1
1400000US51700030900,Census Tract 309,309.0,700,62.8
1400000US51700031100,Census Tract 311,311.0,700,67.8
1400000US51810041004,Census Tract 410.04,410.04,810,69.5
1400000US51810043800,Census Tract 438,438.0,810,78.3
1400000US51740213200,Census Tract 2132,2132.0,740,68.9
1400000US51810041200,Census Tract 412,412.0,810,74.3
1400000US51810041400,Census Tract 414,414.0,810,75.4
1400000US51810042600,Census Tract 426,426.0,810,70.8
1400000US51810046214,Census Tract 462.14,462.14,810,70.1
1400000US51810045805,Census Tract 458.05,458.05,810,73.5
1400000US51810046220,Census Tract 462.20,462.2,810,74.9
1400000US51810044004,Census Tract 440.04,440.04,810,64.8
1400000US51810042400,Census Tract 424,424.0,810,71.3
1400000US51740211400,Census Tract 2114,2114.0,740,66.0
1400000US51810041600,Census Tract 416,416.0,810,73.7
1400000US51810041801,Census Tract 418.01,418.01,810,65.1
1400000US51810046219,Census Tract 462.19,462.19,810,69.1
1400000US51810045601,Census Tract 456.01,456.01,810,70.8
1400000US51810045415,Census Tract 454.15,454.15,810,62.7
1400000US51810042000,Census Tract 420,420.0,810,74.5
1400000US51810042201,Census Tract 422.01,422.01,810,75.7
1400000US51810046400,Census Tract 464,464.0,810,68.2
1400000US51810043004,Census Tract 430.04,430.04,810,72.3
1400000US51810045427,Census Tract 454.27,454.27,810,70.2
1400000US51810045428,Census Tract 454.28,454.28,810,71.4
1400000US51810042202,Census Tract 422.02,422.02,810,71.9
1400000US51810042801,Census Tract 428.01,428.01,810,67.0
1400000US51810045421,Census Tract 454.21,454.21,810,68.7
1400000US51810045422,Census Tract 454.22,454.22,810,68.6
1400000US51810990100,Census Tract 9901,9901.0,810,41.3
1400000US51810040000,Census Tract 400,400.0,810,52.2
1400000US51810040200,Census Tract 402,402.0,810,63.1
1400000US51740211500,Census Tract 2115,2115.0,740,62.5
1400000US51740211600,Census Tract 2116,2116.0,740,66.0
1400000US51740211700,Census Tract 2117,2117.0,740,66.5
1400000US51740211800,Census Tract 2118,2118.0,740,56.3
1400000US51740212000,Census Tract 2120,2120.0,740,66.8
1400000US51740212100,Census Tract 2121,2121.0,740,63.6
1400000US51740980100,Census Tract 9801,9801.0,740,24.1
1400000US51700031200,Census Tract 312,312.0,700,66.5
1400000US51700031300,Census Tract 313,313.0,700,66.2
1400000US51700031603,Census Tract 316.03,316.03,700,68.0
1400000US51700032134,Census Tract 321.34,321.34,700,69.1
1400000US51700032227,Census Tract 322.27,322.27,700,68.1
1400000US51700032133,Census Tract 321.33,321.33,700,63.1
1400000US51700032228,Census Tract 322.28,322.28,700,66.4
1400000US51700031604,Census Tract 316.04,316.04,700,68.4
1400000US51810045426,Census Tract 454.26,454.26,810,67.5
1400000US51700031400,Census Tract 314,314.0,700,68.1
1400000US51700031500,Census Tract 315,315.0,700,69.8
1400000US51700031602,Census Tract 316.02,316.02,700,68.8
1400000US51810046016,Census Tract 460.16,460.16,810,68.4
1400000US51810046014,Census Tract 460.14,460.14,810,68.4
1400000US51810046221,Census Tract 462.21,462.21,810,67.1
1400000US51810046223,Census Tract 462.23,462.23,810,74.9
1400000US51810046222,Census Tract 462.22,462.22,810,72.8
1400000US51810046225,Census Tract 462.25,462.25,810,69.7
1400000US51810045603,Census Tract 456.03,456.03,810,70.0
1400000US51740212500,Census Tract 2125,2125.0,740,65.4
1400000US51650010312,Census Tract 103.12,103.12,650,71.5
1400000US51740210400,Census Tract 2104,2104.0,740,73.4
1400000US51740210500,Census Tract 2105,2105.0,740,61.3
1400000US51740210900,Census Tract 2109,2109.0,740,67.8
1400000US51740210300,Census Tract 2103,2103.0,740,63.5
1400000US51740212300,Census Tract 2123,2123.0,740,63.3
1400000US51740211100,Census Tract 2111,2111.0,740,68.1
1400000US51700032114,Census Tract 321.14,321.14,700,71.0
1400000US51700032117,Census Tract 321.17,321.17,700,70.6
1400000US51700032123,Census Tract 321.23,321.23,700,68.8
1400000US51710000400,Census Tract 4,4.0,710,68.8
1400000US51710000500,Census Tract 5,5.0,710,68.8
1400000US51710000600,Census Tract 6,6.0,710,65.5
1400000US51710000800,Census Tract 8,8.0,710,65.2
1400000US51710001100,Census Tract 11,11.0,710,63.4
1400000US51710001200,Census Tract 12,12.0,710,70.6
1400000US51710001400,Census Tract 14,14.0,710,69.4
1400000US51710001500,Census Tract 15,15.0,710,72.8
1400000US51710001600,Census Tract 16,16.0,710,71.0
1400000US51700030500,Census Tract 305,305.0,700,62.1
1400000US51700032212,Census Tract 322.12,322.12,700,63.8
1400000US51700032001,Census Tract 320.01,320.01,700,76.4
1400000US51700032400,Census Tract 324,324.0,700,70.9
1400000US51710002000,Census Tract 20,20.0,710,70.2
1400000US51710002100,Census Tract 21,21.0,710,78.0
1400000US51710002300,Census Tract 23,23.0,710,74.2
1400000US51710002400,Census Tract 24,24.0,710,73.8
1400000US51710002500,Census Tract 25,25.0,710,65.3
1400000US51710002700,Census Tract 27,27.0,710,67.8
1400000US51710001700,Census Tract 17,17.0,710,72.8
1400000US51710002800,Census Tract 28,28.0,710,74.5
1400000US51710002900,Census Tract 29,29.0,710,69.6
1400000US51710003000,Census Tract 30,30.0,710,74.1
1400000US51740213001,Census Tract 2130.01,2130.01,740,72.9
1400000US51710003100,Census Tract 31,31.0,710,65.1
1400000US51710003200,Census Tract 32,32.0,710,70.3
1400000US51710003400,Census Tract 34,34.0,710,66.6
1400000US51710003600,Census Tract 36,36.0,710,76.3
1400000US51710003700,Census Tract 37,37.0,710,68.7
1400000US51710003800,Census Tract 38,38.0,710,74.9
1400000US51710980100,Census Tract 9801,9801.0,710,41.3
1400000US51550021011,Census Tract 210.11,210.11,550,70.3
1400000US51550020809,Census Tract 208.09,208.09,550,69.0
1400000US51550020500,Census Tract 205,205.0,550,64.1
1400000US51710005901,Census Tract 59.01,59.01,710,67.0
1400000US51740213002,Census Tract 2130.02,2130.02,740,74.5
1400000US51740213101,Census Tract 2131.01,2131.01,740,62.6
1400000US51710004300,Census Tract 43,43.0,710,66.9
1400000US51710004001,Census Tract 40.01,40.01,710,77.5
1400000US51710004002,Census Tract 40.02,40.02,710,73.8
1400000US51710004100,Census Tract 41,41.0,710,53.9
1400000US51710004200,Census Tract 42,42.0,710,56.8
1400000US51710005902,Census Tract 59.02,59.02,710,68.0
1400000US51710005903,Census Tract 59.03,59.03,710,66.2
1400000US51710006000,Census Tract 60,60.0,710,70.7
1400000US51710006100,Census Tract 61,61.0,710,69.9
1400000US51740212600,Census Tract 2126,2126.0,740,67.5
1400000US51740212701,Census Tract 2127.01,2127.01,740,70.9
1400000US51740212702,Census Tract 2127.02,2127.02,740,72.0
1400000US51740213104,Census Tract 2131.04,2131.04,740,72.7
1400000US51740213103,Census Tract 2131.03,2131.03,740,66.3
1400000US51710006200,Census Tract 62,62.0,710,70.5
1400000US51710980200,Census Tract 9802,9802.0,710,41.3
1400000US51710006400,Census Tract 64,64.0,710,69.7
1400000US51710006602,Census Tract 66.02,66.02,710,70.2
1400000US51710006603,Census Tract 66.03,66.03,710,71.0
1400000US51710006604,Census Tract 66.04,66.04,710,64.9
1400000US51710006605,Census Tract 66.05,66.05,710,74.0
1400000US51710006606,Census Tract 66.06,66.06,710,71.9
1400000US51710006800,Census Tract 68,68.0,710,68.6
1400000US51710006607,Census Tract 66.07,66.07,710,69.7
1400000US51710980300,Census Tract 9803,9803.0,710,41.3
1400000US51700031800,Census Tract 318,318.0,700,73.4
1400000US51700032002,Census Tract 320.02,320.02,700,73.9
1400000US51800075402,Census Tract 754.02,754.02,800,70.1
1400000US51740212900,Census Tract 2129,2129.0,740,68.7
1400000US51800075401,Census Tract 754.01,754.01,800,69.7
1400000US51800075202,Census Tract 752.02,752.02,800,70.6
1400000US51199050306,Census Tract 503.06,503.06,199,73.4
1400000US51199050900,Census Tract 509,509.0,199,69.3
1400000US51199051100,Census Tract 511,511.0,199,72.6
1400000US51199051000,Census Tract 510,510.0,199,73.7
1400000US51740210600,Census Tract 2106,2106.0,740,71.4
1400000US51740211900,Census Tract 2119,2119.0,740,69.1
1400000US51700032006,Census Tract 320.06,320.06,700,58.7
1400000US51700031701,Census Tract 317.01,317.01,700,72.3
1400000US51800075703,Census Tract 757.03,757.03,800,73.1
1400000US51800075803,Census Tract 758.03,758.03,800,70.5
